file_path,key,reason,zh-Hant_state,zh-Hant_value,zh-HK_state,en_value,zh-HK_value,zh-Hans_state,zh-Hans_value,en_state
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_detail_view.snackbar.feel_free_to_share_it_later,missing_localizations,missing,,missing,Activity saved. Share it whenever youre ready.,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_name_view.text.name_this_activity,en:needs_review,translated,,translated,Name your activity,,translated,,needs_review
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_name_view.text.your_activity_deserves_a_unique_name,en:needs_review,translated,,translated,Makes it easier to find and share later.,,translated,,needs_review
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_other_formats_share_view.text.activity_files,missing_localizations,missing,,missing,Export,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_other_formats_share_view.text.activity_link,missing_localizations,missing,,missing,Link,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_share_view.navigation_title.share_activity,missing_localizations,missing,,missing,Share,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,activity_video_share_view.text.customization,missing_localizations,missing,,missing,Customization available for video only,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,alert_view.action.share_the_activity,missing_localizations,missing,,missing,Share now,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,alert_view.message.share_the_activity,missing_localizations,missing,,missing,You can create 3D flyovers or snapshots instead of just a screenshot.,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,alert_view.message.unable_to_copy_the_activity_link,missing_localizations,missing,,missing,Please try again later or contact support,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,alert_view.title.share_the_activity,missing_localizations,missing,,missing,Want a better way to share?,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,alert_view.title.unable_to_copy_the_activity_link,missing_localizations,missing,,missing,Unable to copy link,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,completed_trail_item_view.button.not_this_route,missing_localizations,missing,,missing,Not this route?,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,completed_trail_item_view.button.select_your_route,missing_localizations,missing,,missing,Select route,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,completed_trail_view.text.you_can_accumulate_completions,en:needs_review,translated,,translated,Your public activity will appear on the trail page and count toward your completions.,,translated,,needs_review
Hikingbook/Resources/Localizable/Localizable.xcstrings,general.back,missing_localizations,missing,,missing,Back,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,general.image,missing_localizations,missing,,missing,Image,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,general.pause,missing_localizations,missing,,missing,Pause,,missing,,missing
Hikingbook/Resources/Localizable/Localizable.xcstrings,general.play,missing_localizations,missing,,missing,Play,,missing,,missing
